V1,V2,V3,V4,BootData$SelectedNetwork,BootData$BSValue,,,index,Species
1,2,3,4,1,100,,,1,Macaca_fascicularis
1,2,3,5,1,100,,,2,Macaca_mulatta
1,2,3,6,1,100,,,3,Macaca_nemestrina
1,2,3,7,1,100,,,4,Mandrillus_leucophaeus
1,2,3,8,1,100,,,5,Cercocebus_atys
1,2,3,9,1,100,,,6,Papio_anubis
1,2,4,5,1,100,,,7,Theropithecus_gelada
1,2,4,6,1,100,,,8,Chlorocebus_sabaeus
1,2,4,7,1,100,,,9,Colobus_angolensis_palliatus
1,2,4,8,1,100,,,,
1,2,4,9,1,100,,,,
1,2,5,6,1,100,,,,
1,2,5,7,1,100,,,,
1,2,5,8,1,100,,,,
1,2,5,9,1,100,,,,
1,2,6,7,1,100,,,,
1,2,6,8,1,100,,,,
1,2,6,9,1,100,,,,
1,2,7,8,1,100,,,,
1,2,7,9,1,100,,,,
1,2,8,9,1,100,,,,
1,3,4,5,1,100,,,,
1,3,4,6,1,100,,,,
1,3,4,7,1,100,,,,
1,3,4,8,1,100,,,,
1,3,4,9,1,100,,,,
1,3,5,6,1,100,,,,
1,3,5,7,1,100,,,,
1,3,5,8,1,100,,,,
1,3,5,9,1,100,,,,
1,3,6,7,1,100,,,,
1,3,6,8,1,100,,,,
1,3,6,9,1,100,,,,
1,3,7,8,1,100,,,,
1,3,7,9,1,100,,,,
1,3,8,9,1,100,,,,
1,4,5,6,20,80,,,,
1,4,5,7,14,50,,,,
1,4,5,8,3,100,,,,
1,4,5,9,20,95,,,,
1,4,6,7,19,98,,,,
1,4,6,8,20,31,,,,
1,4,6,9,20,69,,,,
1,4,7,8,3,99,,,,
1,4,7,9,20,47,,,,
1,4,8,9,18,95,,,,
1,5,6,7,1,100,,,,
1,5,6,8,16,70,,,,
1,5,6,9,11,53,,,,
1,5,7,8,10,58,,,,
1,5,7,9,10,72,,,,
1,5,8,9,1,100,,,,
1,6,7,8,3,100,,,,
1,6,7,9,17,47,,,,
1,6,8,9,12,65,,,,
1,7,8,9,12,52,,,,
2,3,4,5,1,100,,,,
2,3,4,6,1,100,,,,
2,3,4,7,1,100,,,,
2,3,4,8,1,100,,,,
2,3,4,9,1,100,,,,
2,3,5,6,1,100,,,,
2,3,5,7,1,100,,,,
2,3,5,8,1,100,,,,
2,3,5,9,1,100,,,,
2,3,6,7,1,100,,,,
2,3,6,8,1,100,,,,
2,3,6,9,1,100,,,,
2,3,7,8,1,100,,,,
2,3,7,9,1,100,,,,
2,3,8,9,1,100,,,,
2,4,5,6,20,71,,,,
2,4,5,7,20,55,,,,
2,4,5,8,3,100,,,,
2,4,5,9,20,100,,,,
2,4,6,7,19,90,,,,
2,4,6,8,10,61,,,,
2,4,6,9,20,90,,,,
2,4,7,8,3,99,,,,
2,4,7,9,10,53,,,,
2,4,8,9,18,98,,,,
2,5,6,7,1,100,,,,
2,5,6,8,16,45,,,,
2,5,6,9,11,60,,,,
2,5,7,8,20,38,,,,
2,5,7,9,10,71,,,,
2,5,8,9,1,97,,,,
2,6,7,8,3,100,,,,
2,6,7,9,3,85,,,,
2,6,8,9,12,47,,,,
2,7,8,9,18,59,,,,
3,4,5,6,3,49,,,,
3,4,5,7,14,35,,,,
3,4,5,8,3,98,,,,
3,4,5,9,20,87,,,,
3,4,6,7,19,86,,,,
3,4,6,8,10,36,,,,
3,4,6,9,20,97,,,,
3,4,7,8,20,52,,,,
3,4,7,9,20,86,,,,
3,4,8,9,18,100,,,,
3,5,6,7,1,100,,,,
3,5,6,8,15,40,,,,
3,5,6,9,20,29,,,,
3,5,7,8,20,63,,,,
3,5,7,9,10,88,,,,
3,5,8,9,10,52,,,,
3,6,7,8,3,100,,,,
3,6,7,9,3,58,,,,
3,6,8,9,1,90,,,,
3,7,8,9,18,78,,,,
4,5,6,7,1,100,,,,
4,5,6,8,18,74,,,,
4,5,6,9,10,74,,,,
4,5,7,8,18,52,,,,
4,5,7,9,10,99,,,,
4,5,8,9,1,100,,,,
4,6,7,8,20,97,,,,
4,6,7,9,3,100,,,,
4,6,8,9,1,54,,,,
4,7,8,9,1,100,,,,
5,6,7,8,3,100,,,,
5,6,7,9,17,90,,,,
5,6,8,9,1,100,,,,
5,7,8,9,18,51,,,,
6,7,8,9,1,100,,,,
